,Species,Country_of_Origin,Harvest_Year,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Moisture,Category_One_Defects,Color,Category_Two_Defects,Certification_Body,altitude_mean_meters,Total_Cup_Points,Points_Tiers
1,Arabica,Ethiopia,2014,Other,Washed/Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,0.12,0,Green,1,METAD Agricultural Development plc,2075.0,89.92,Excellent Specialty
4,Arabica,Ethiopia,2014,Other,Washed/Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,0.12,0,Green,2,METAD Agricultural Development plc,2075.0,88.83,Excellent Specialty
9,Arabica,Ethiopia,2014,Other,Natural/Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,0.1,0,Green,4,METAD Agricultural Development plc,1822.5,88.25,Excellent Specialty
18,Arabica,China,2015,Catimor,Washed/Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,0.1,0,Green,0,Yunnan Coffee Exchange,1450.0,87.25,Excellent Specialty
20,Arabica,United States,2014,Other,Washed/Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,0.0,0,None,0,Almacafé,2019.0,87.25,Excellent Specialty
21,Arabica,Costa Rica,2014,Caturra,Washed/Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,0.11,0,Green,2,Specialty Coffee Association,1300.0,87.17,Excellent Specialty
22,Arabica,Mexico,2012,Other,Washed/Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,0.13,0,Green,0,AMECAFE,1320.0,87.17,Excellent Specialty
25,Arabica,Brazil,2011,Bourbon,Natural/Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,0.12,0,Green,2,NUCOFFEE,1250.0,86.92,Excellent Specialty
27,Arabica,Uganda,2013,SL14,Washed/Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,0.12,0,Green,1,Uganda Coffee Development Authority,1950.0,86.83,Excellent Specialty
29,Arabica,Taiwan,2015,Sumatra,Pulped natural/honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,0.0,0,Green,0,Specialty Coffee Association,1200.0,86.58,Excellent Specialty
32,Arabica,Brazil,2011,Bourbon,Natural/Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,0.12,0,Green,2,NUCOFFEE,1300.0,86.42,Excellent Specialty
33,Arabica,Costa Rica,2016,Caturra,Washed/Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,0.0,0,Blue-Green,0,Specialty Coffee Association of Costa Rica,1300.0,86.33,Excellent Specialty
35,Arabica,Kenya,2013,SL34,Washed/Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,0.12,0,Blue-Green,1,Kenya Coffee Traders Association,1800.0,86.25,Excellent Specialty
40,Arabica,Thailand,2012,Caturra,Washed/Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,0.1,1,Green,9,Specialty Coffee Association,1300.0,86.17,Excellent Specialty
43,Arabica,Taiwan,2015,Bourbon,Semi-washed/Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,0.12,0,Green,0,Specialty Coffee Association,1000.0,86.08,Excellent Specialty
44,Arabica,Kenya,2014,SL28,Natural/Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,0.11,0,Bluish-Green,2,Kenya Coffee Traders Association,1754.0,86.08,Excellent Specialty
45,Arabica,Brazil,2011,Bourbon,Semi-washed/Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,0.11,0,Blue-Green,2,NUCOFFEE,1250.0,86.08,Excellent Specialty
47,Arabica,Colombia,2013,Caturra,Washed/Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,0.12,1,Green,1,Specialty Coffee Association,1200.0,86.0,Excellent Specialty
48,Arabica,Kenya,2013,SL28,Washed/Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,0.11,0,Green,1,Specialty Coffee Association,1860.0,86.0,Excellent Specialty
49,Arabica,Uganda,2012,Other,Washed/Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,0.1,0,Blue-Green,0,Africa Fine Coffee Association,1650.0,86.0,Excellent Specialty
53,Arabica,Uganda,2013,SL14,Natural/Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,0.12,0,Green,0,Uganda Coffee Development Authority,1650.0,85.92,Excellent Specialty
54,Arabica,Colombia,2013,Caturra,Washed/Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,0.0,1,Blue-Green,0,Almacafé,1800.0,85.92,Excellent Specialty
55,Arabica,Panama,2017,Gesha,Washed/Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,0.08,0,Bluish-Green,0,Specialty Coffee Association of Costa Rica,1600.0,85.83,Excellent Specialty
57,Arabica,Guatemala,2012,Bourbon,Washed/Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,0.12,0,Green,3,Asociacion Nacional Del Café,1524.0,85.83,Excellent Specialty
58,Arabica,Guatemala,2012,Catuai,Washed/Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,0.1,0,Bluish-Green,1,Asociacion Nacional Del Café,1417.32,85.83,Excellent Specialty
62,Arabica,El Salvador,2013,Bourbon,Washed/Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,0.1,0,Blue-Green,3,Specialty Coffee Association,1500.0,85.58,Excellent Specialty
63,Arabica,El Salvador,2012,Bourbon,Semi-washed/Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,0.11,0,None,0,Specialty Coffee Association,1350.0,85.58,Excellent Specialty
66,Arabica,Kenya,2014,SL28,Natural/Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,0.1,0,Green,3,Blossom Valley International,1900.0,85.5,Excellent Specialty
67,Arabica,Ethiopia,2015,Other,Natural/Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,0.12,0,Green,7,METAD Agricultural Development plc,1900.0,85.5,Excellent Specialty
68,Arabica,Uganda,2013,SL14,Washed/Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,0.12,0,Green,1,Uganda Coffee Development Authority,1600.0,85.5,Excellent Specialty
69,Arabica,Guatemala,2013,Bourbon,Washed/Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,0.11,0,Green,1,Asociacion Nacional Del Café,1731.264,85.5,Excellent Specialty
71,Arabica,Uganda,2013,SL14,Washed/Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,0.12,0,Green,5,Uganda Coffee Development Authority,1950.0,85.42,Excellent Specialty
73,Arabica,Brazil,2011,Bourbon,Semi-washed/Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,0.11,0,Blue-Green,1,NUCOFFEE,1250.0,85.42,Excellent Specialty
75,Arabica,China,2015,Catimor,Natural/Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,0.1,0,Green,0,Yunnan Coffee Exchange,1700.0,85.33,Excellent Specialty
76,Arabica,Guatemala,2014,Pacamara,Natural/Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,0.11,0,Green,1,Blossom Valley International,1770.0,85.33,Excellent Specialty
